Items,Index,BIO,OR., PRIX ,EMBALLAGE SECONDAIRE,EMBALLAGE PRIMAIRE,UNITÉS X EMB.,col. libre,Preparé pour la liste du collectif,Categorie,Nom,Brand,Brand 2,Date,Commentaires
CELERI RIENDEAU ENV 30 QC,Y0352,,QC,"20,00 $",BOITE 30,UN,30,,OUI,Canadawide,,,,5 août 2025,
CELERI SONORA SUN ENV 30 MX ,Y0353,,,"  89,50  $ ",,,,,OUI,Canadawide,,,,8 mai 2024,
CELERI T&A 24 CA,Y0354,,,"46,50 $",,,,,OUI,Canadawide,,,,9 mai 2024,
CELERI T&A ENV 24 CA,Y0355,,CA,"82,75 $",,UN,24,,OUI,Canadawide,,,,16 févr. 2026,
CELERI VAES ENV 30 QC,Y0356,,QC,"21,00 $",BOITE 30,UN,30,,OUI,Canadawide,,,,3 oct. 2025,
CHAMP (BIO) SHITAKE NEBO 12X150GR,Y0359,BIO,,"45,00 $",12X150GR,150GR,12,,OUI,Canadawide,,,,20 avr. 2025,
CHAMP.  (BIO) BLANC ELITE 12X8OZ,Y0360,BIO,ON,"22,50 $",BOITE/12,UN,12,,OUI,Canadawide,,,,16 février 2026,
CHAMP. (BIO) BLANC 5 LBS #1,Y0361,BIO,ON,"17,50 $",lbs,LBS,5,,OUI,Canadawide,,,,19 mars 2024,
CHAMP. (BIO) BLANC 5LBS #1,Y0362,,,"  17,50  $ ",,,,,OUI,Canadawide,,,,8 mai 2024,
CHAMP. (BIO) ENOKI ENVIRO 22X150GR ON,Y0364,BIO,ON,"81,50 $",,,,#REF!,OUI,Canadawide,,,,9 mai 2024,
CHAMP. (BIO) KING OYSTER BEBE ENVIRO 24X17...,Y0365,BIO,,"86,50 $",,,,,OUI,Canadawide,,,,7 mai 2024,
CHAMP. (BIO) KING OYSTER ENVIRO 3LBS ON,Y0366,BIO,ON,"32,50 $",3 LBS,LBS,3,,OUI,Canadawide,,,,2 mars 2025,
CHAMP. (BIO) KING OYSTER MINI 3LBS ON,Y0367,BIO,ON,"29,50 $",LBS,LBS,3,,OUI,Canadawide,,,,25 avr. 2025,
CHAMP. (BIO) KING OYSTER MINI ENVIRO 24X17...,Y0368,BIO,,"94,50 $",,,,,OUI,Canadawide,,,,9 mai 2024,
CHAMP. (BIO) PLEUROTE JAUNE NEBO 8X150GR ON,Y0372,BIO,ON,"24,00 $",8X150GR,150GR,8,,OUI,Canadawide,,,,8 avr. 2025,
CHAMP. (BIO) PLEUROTE NOIR NEBO 8X200GR ON,Y0373,BIO,ON,"22,50 $",8X200GR,200GR,8,,OUI,Canadawide,,,,8 avr. 2025,
"CHAMP.(BIO) LION'S MANE 6X5,3OZ",Y0403,BIO,ON,"  35,50  $ ","6X5,3OZ (150GR)",150GR,6,,OUI,Canadawide,,,,25 mars 2025,
CHAMPIGNON BLANC #1 5LBS,Y0407,,ON,"15,50 $",BOITE 5LBS,LBS,5,,OUI,Canadawide,,,,14 janv. 2025,
CHAMPIGNON BLANC BOUTONS 5 LBS #1,Y0409,,ON,"14,50 $",BOITE 5LBS,LBS,5,,OUI,Canadawide,,,,11 mars 2025,
CHAMPIGNON BLANC BOUTONS 5 lbs #2,Y0410,,ON,"12,50 $",BOITE 5LBS,LBS,5,,OUI,Canadawide,,,,11 mars 2025,
CHAMPIGNON BLANC JUMBO 8X16oz ON,Y0415,,,"  18,00  $ ",,,,,OUI,Canadawide,,,,16 mars 2025,
CHAMPIGNON CAFE CELLO PEETERS 12X8oz,Y0420,,ON,"18,50 $",BOITE 5LBS,LBS,5,,OUI,Canadawide,,,,24 sept. 2024,
CHAMPIGNON PLEUROTE 2LBS,Y0423,BIO,ON,"13,50 $",2LBS,LBS,2,,OUI,Canadawide,,,,12 août 2025,
CHAMPIGNON PLEUROTE 8X200GR QC,Y0424,BIO,ON,"13,00 $",2LBS,LBS,2,,OUI,Canadawide,,,,9 mars 2025,
CHAMPIGNON PLEUROTE BERTRAND 6X250GR QC,Y0425,,QC,"19,50 $",8x250GR,250grams,8,,OUI,Canadawide,,,,25 avr. 2024,
Champignon Portobello 3lbs,Y0431,BIO,QC,"21,00 $",10X170GR,UN,10,,OUI,Canadawide,,,,15 mars 2024,
CHAMPIGNON PORTOBELLO 6X340GR ON,Y0432,BIO,ON,"12,00 $",BOITE,LBS,3,,OUI,Canadawide,,,,11 mars 2024,
CHAMPIGNON PORTOBELLO BTE OUVERT 5LBS,Y0433,,ON,"19,50 $",BOITE 5LBS,LBS,5,,OUI,Canadawide,,,,23 décembre 2025,
CHAMPIGNON PORTOBELLO CAPS 8X170GR,Y0434,BIO,ON,"19,50 $",BOITE,LBS,5,,OUI,Canadawide,,,,11 février 2025,
CHAMPIGNON SHITAKE 3LBS MEDIUM,Y0449,BIO,ON,"22,50 $",3LBS,LBS,3,,OUI,Canadawide,,,,24 févr. 2026,
CHAMPIGNON SHITAKE CE. 12X113GR,Y0450,BIO,ON,"22,50 $",BOITE,LBS,3,,OUI,Canadawide,,,,2 mars 2025,
CHAYOTES TURBANA,Y0451,BIO,,"38,50 $",12x113gr,UN,12,,OUI,Canadawide,,,,6 mars 2024,
CHOP SUEY BOITE 30LBS QC - STIFF,Y0456, ,QC,"22,50 $","BOITE/30LBS/13,590 GR",KG,"13,59",,OUI,Canadawide,,,,13 janv. 2026,
CHOP SUEY MC/HC BTE 28LBS - STIFF,Y0457,,QC,"21,50 $",BOITE/30LBS,LBS,30,,OUI,Canadawide,,,,18 févr. 2024,
CHOP SUEY MC/HC BTE 28LBS STIFF,Y0458,,QC,"22,50 $",BOITE/28lbs,LBS,28,,OUI,Canadawide,,,,3 mai 2024,
CHOU (BIO) ROUGE LAKESIDE 45LBS CA,Y0460,BIO,CA,"  45,50  $ ",BOITE 45 LBS,UN,23,,OUI,Canadawide,,,,7 janvier 2025,
CHOU BRUXELLE BTE NOIRE 11.5 KG FR,Y0467,,FR,"66,75 $",25 LBS,LBS,25,,OUI,Canadawide,,,,20 janv. 2026,
CHOU BRUXELLE IDEAL HARBEST 2..,Y0468,BIO,MX,"23,50 $",BOITE-12,454gr,12,,OUI,Canadawide,,,,9 avr. 2024,
CHOU BRUXELLE Q.VICTORIA 25LBS CA,Y0469, ,MX,"34,50 $",BOITE-25 LBS,LBS,25,,OUI,Canadawide,,,,11 avr. 2024,
CHOU PLAT BOITE EU,Y0470,,CA,"49,50 $",BOITE 25LBS,LBS,25,,OUI,Canadawide,,,,31 déc. 2024,
CHOU ROUGE GR BTE QC,Y0471,,QC,"19,75 $",BOITE DE 15 VERIFIÉE,UN,15,,OUI,Canadawide,,,,16 déc. 2025,
CHOU SAVOIE QC,Y0472,,QC,"22,50 $",BOITE/35LBS,LBS,35,,OUI,Canadawide,,,,25 nov. 2025,
CHOU VERT BTE QC,Y0473,,QC,"21,00 $",BOITE/?,LBS,35,,OUI,Canadawide,,,,24 sept. 2024,
CHOU VERT LAKESIDE 45LBS CA,Y0474,,QC,"22,50 $",BOITE/35LBS VERIFIER,LBS,35,,OUI,Canadawide,,,,10 décembre 2024,
CHOU VERT SAC QC 50LBS 9 UN,Y0476,,QC,"13,25 $",9,UN,9,,OUI,Canadawide,,,,24 févr. 2026,
CHOUX BRUXELLE (BIO) #FRESCADEL 12X454GR,Y0477,,QC,"21,50 $",8 À 9,LBS,50,,OUI,Canadawide,,,,7 janvier 2025,
CHOUX BRUXELLE 25LBS MED QC,Y0483,,QC,"62,75 $",BOITE 25LBS,LBS,25,,OUI,Canadawide,,,,14 oct. 2025,
CHOUX BRUXELLE ALTAR 25LBS MX,Y0484,,MX,"43,00 $",BOITE 25 LBS,LBS,25,,OUI,Canadawide,,,,3 juin 2025,
CHOUX BRUXELLE BTE. PLASTIQUE 25LBS MX,Y0485,,QC,"33,75 $",BOITE 25 LBS,UN,25,,OUI,Canadawide,,,,18 oct. 2024,
CHOUX BRUXELLE SANS GALCE 25LBS NL,Y0487,,NL,"61,75 $",25LBS,LBS,25,,OUI,Canadawide,,,,6 janv. 2026,
CHOUX-FLEUR (BIO) BONIPAK 12 CA,Y0488,,MX,"32,50 $",25LBS,LBS,25,,OUI,Canadawide,,,,9 mars 2025,
CHOUX-FLEUR (BIO) EARTHBOUND 12 CA,Y0490,BIO,,"16,50 $",BOITE/12,UN,12,,OUI,Canadawide,,,,à vérifier,
Choux-Fleur (Bio) Foxy Env 12 MX,Y0491,BIO,CA,"24,50 $",BOITE/12,UN,12,,OUI,Canadawide,,,,12 nov. 2024,
CHOUX-FLEUR (BIO) FOXY ENV 9 CA,Y0492,BIO,MX,"39,50 $",BOITE,UN,12,,OUI,Canadawide,,,,19 mars 2024,
CHOUX-FLEUR (BIO) FOXY JBO 12 CA,Y0493,BIO,CA,"24,50 $",BOITE 12,UN,12,,OUI,Canadawide,,,,6 janv. 2026,
CHOUX-FLEUR (BIO) ROMANESCO LAKESID... ,Y0496,BIO,CA,"49,50 $",BOITE,UN,9,,OUI,Canadawide,,,,24 avr. 2024,
CHOUX-FLEUR (BIO) ROMANESCO LAKESIDE 12...,Y0497,BIO,CA,"24,50 $",BOITE/12,UN,12,,OUI,Canadawide,,,,21 juin 2024,
CHOUX-FLEUR 12 MX,Y0498, ,MX,"26,75 $",12UN,UN,12,,OUI,Canadawide,,,,8 avr. 2025,
CHOUX-FLEUR 12 QC,Y0499, ,QC,"25,75 $",12UN,UN,12,,OUI,Canadawide,,,,21 oct. 2025,
CHOUX-FLEUR BONIPAK 12 CA,Y0500, ,QC,"20,75 $",BOITE/12,UN,12,,OUI,Canadawide,,,,29 oct. 2024,
CHOUX-FLEUR DANDY 12 CA,Y0501,,CA,"24,75 $",BOITE 12,UN,12,,OUI,Canadawide,,,,27 janv. 2026,
CHOUX-FLEUR EARTHBOUND 12 CA ,Y0502,,MX,"22,75 $",BOITE/12,UN,12,,OUI,Canadawide,,,,11 mars 2025,
CHOUX-FLEUR MAUVE ST.CARLOS 12 MX,Y0503,,MX,"15,75 $",BOITE/12,UN,12,#REF!,OUI,Canadawide,,,,2 mars 2025,
CHOUX-FLEUR PAMPAK 12 CA,Y0507,,CA,"44,75 $",BOITE 12,UN,12,,OUI,Canadawide,,,,27 janv. 2026,
CHOUX-FLEUR ROMANESCO 16 MX,Y0508,,QC,"30,50 $",BOITE/12,UN,12,,OUI,Canadawide,,,,24 sept. 2024,
CHOUX-FLEUR T&A 12 CA,Y0511, ,CA,"32,50 $",BOITE/12,UN,12,,OUI,Canadawide,,,,8 juin 2025,
CITRON (BIO) #FRESCADEL 16X454GR,Y0514,,,"  37,50  $ ",16X454GR,454GR,16,,OUI,Canadawide,,,,11 mai 2025,
CITRON (BIO) GOOD LIFE 115 CA,Y0515,,MX,"  29,50  $ ",16X454GR (16X4),UN,64,,OUI,Canadawide,,,,31 déc. 2024,
CITRON FANCY ZAMORA 125 AR,Y0523,,AR,"49,50 $",BOITE 125,UN,125,,OUI,Canadawide,,,,20 mai 2025,
CITRON UNIFRUTTI 100 ZA,Y0545,,ZA,"39,50 $",BOITE 100,UN,100,,OUI,Canadawide,,,,20 mai 2025,
CITRON UNIFRUTTI 113 ZA,Y0546,,ZA,"35,50 $",BOITE 113,UN,113,,OUI,Canadawide,,,,20 mai 2025,
CLEM.AVEC FLLE FRUBANA 10KG 1X/1 ES,Y0557,,ES,"40,50 $",BOITE 120?,UN,120,,OUI,Canadawide,,,,31 déc. 2024,
CLEM.AVEC FLLE FRUBANA 10KG 2 ES,Y0558,,ES,"44,50 $",BOITE ?,LBS,22,,OUI,Canadawide,,,,14 nov. 2024,
CLEM.AVEC FLLE GRANDE 10KG 2 ES 80,Y0561,,ES,"38,58 $",10KG 110 ?,UN,110,,OUI,Canadawide,,,,14 janv. 2025,
CLEM.AVEC FLLE GRANDE BTE.ROUGE 10KG 1X/1 ES 75,Y0562,,SE ,"37,50 $",10KG 80 ?,UN,80,,OUI,Canadawide,,,,14 janv. 2025,
CLEM.AVEC FLLE KIRA 7KG 1X/1 ES,Y0563,,ES,"29,50 $",7KG,LBS,"15,4",,OUI,Canadawide,,,,9 déc. 2025,Achou
CLEM.AVEC FLLE LLONA 10KG 1X/1 ES,Y0564,,ES,"41,50 $",10KG 75,UN,75,,OUI,Canadawide,,,,18 févr. 2024,
CLEM.AVEC FLLE LLONA 10KG 2 ES  110,Y0565,,ES,"39,50 $",10KG 110,UN,110,,OUI,Canadawide,,,,9 déc. 2025,Achou
CLEM.AVEC FLLE LLONA 2.3KG ES,Y0566,,,"46,50 $",10KG 80,UN,80,,OUI,Canadawide,,,,14 janv. 2025,
CLEMENTINE AVEC FLLE LLONA 7KG 1X/1 ES,Y0593,,ES,"34,50 $",7.5KG,KG,"7,5",,OUI,Canadawide,,,,20 nov. 2024,
CLEMENTINE BOITE VERT 15KG 1 AR,Y0594,,AR,"36,00 $",BOITE 15KG,LBS,33,,OUI,Canadawide,,,,22 juill. 2025,
