Items,Index,BIO,OR., PRIX ,EMBALLAGE SECONDAIRE,EMBALLAGE PRIMAIRE,UNITÉS X EMB.,col. libre,Preparé pour la liste du collectif,Categorie,Nom,Brand,Brand 2,Date,Commentaires
LAITUE ESCAROLE 12 QC,Y1093,,QC,"20,00 $",BOITE 12,UN,12,,OUI,Canadawide,,,,29 juill. 2025,
LAITUE FEUILLE RGE DOLE 24 EU,Y1096,,CA,"  27,50  $ ",BOITE 24,UN,24,,OUI,Canadawide,,,,31 déc. 2024,
LAITUE FEUILLE RGE VAES BTE.NOIR 24 QC,Y1101,,QC,"17,50 $",24 UN,UN,24,,OUI,Canadawide,,,,14 oct. 2025,
LAITUE FEUILLE VERT 24 NJ,Y1102,,,"  14,00  $ ",BOITE/24,UN,24,,OUI,Canadawide,,,,8 oct. 2024,
LAITUE FEUILLE VERT 24 QC,Y1103,,QC,"16,50 $",BOITE/24,UN,24,,OUI,Canadawide,,,,25 juin 2025,
LAITUE FEUILLE VERT ANDYBOY 24 CA,Y1104,,NJ,"28,00 $",BOITE 24,UN,24,,OUI,Canadawide,,,,20 nov. 2024,
LAITUE GEN V BOSTON DOME 12 ,Y1115,,QC,"22,50 $",BOITE 12,UN,12,,OUI,Canadawide,,,,6 mai 2025,
LAITUE GEN V CROQUANTE DUO 6,Y1117,,QC,"  17,75  $ ",BOITE 6X2,2UN,6,,OUI,Canadawide,,,,20 janv. 2026,
LAITUE GEN V SALANOVA DUO 6,Y1118,,QC,"17,70 $",6X2,2,6,,OUI,Canadawide,,,,29 avr. 2025,
LAITUE ICEBERG ANDYBOY ENV 24 CA,Y1119,,MX,"  10,50  $ ",24,UN,24,,OUI,Canadawide,,,,9 mars 2025,
LAITUE ICEBERG ENV 24 MX,Y1124,,MX,"  30,50  $ ",BOITE 24,UN,24,,OUI,Canadawide,,,,13 mai 2025,
LAITUE ICEBERG FOXY 12 CA ,Y1125,,MX,"16,50 $",BOITE 24,UN,24,,OUI,Canadawide,,,,4 mars 2025,
LAITUE ROMAINE 24 MX,Y1134,,MX,"  8,00  $ ",BOITE 24,UN,24,,OUI,CAnadawide,,,,15 avr. 2025,
LAITUE ROMAINE 24 QC,Y1136,,QC,"  15,00  $ ",BOITE 24,UN,24,,OUI,CAnadawide,,,,17 juin 2025,
Laitue Romaine AndyBoy 24 CA,Y1137,,NJ,"  26,50  $ ",BOITE 24,UN,24,,OUI,Canadawide,,,,20 nov. 2024,
LAITUE ROMAINE ARTISAN T&A 24 EU,Y1138,,CA,"30,50 $",BOITE,UN,24,,OUI,Canadawide,,,,26 mars 2024,
LAITUE ROMAINE BOITE BRUN 24 FL,Y1140,BIO,,"14,50 $",BOITE,,12,,OUI,Canadawide,,,,10 févr. 2024,
LAITUE ROMAINE FRESH CO 24 MX,Y1142,,MX,"28,50 $",BOITE,UN,24,,OUI,Canadawide,,,,1 avr. 2025,
LAITUE ROMAINE PURE FLAVOR ONTARIO,Y1145,,CA,"45,50 $",BOITE/24,UN,24,,OUI,Canadawide,,,,26 mars 2024,
LATTUE LITTLE GEM ROUGE BABE FARM 24 EU,Y1146,,ON,"27,50 $",BOITE,,36,,OUI,Canadawide,,,,2 févr. 2024,
LIMETTE (BIO) #FRESCADEL 10X1LBS,Y1147,,MX,"26,50 $",10X1LBS,1LBS,10,,OUI,Canadawide,,,,17 juin 2025,
LIMETTE #FRESCADEL 18X5UN,Y1148,,MX,"25,75 $",10X1LBS,LBS,10,,OUI,Canadawide,,,,11 mars 2025,
LIMETTE PINK 150 MX,Y1149,,MX,"64,50 $",BOITE 150,UN,150,,OUI,Canadawide,,,,6 janv. 2026,
LIMETTE PINK 175 MX,Y1150,,MX,"53,50 $",BOITE 175,UN,175,,OUI,Canadawide,,,,25 juin 2025,
LIMETTE PINK 200 MX,Y1151,,MX,"32,50 $",BOITE 200,UN,200,,OUI,Canadawide,,,,14 oct. 2025,
LIMETTE ST.CARLOS 175 MX,Y1152,,MX,"19,50 $",BOITE/54 UN,UN,54,,OUI,Canadawide,,,,18 févr. 2024,
MANGUE ATAULFO BOITE BLANC ST-CARLOS 5KG 16,Y1165,,MX,"  18,50  $ ",BOITE 16,UN,16,,OUI,Canadawide,,,,15 juill. 2025,
MANGUE ATAULFO BOITE JAUNE ST-CARLOS 4KG 18,Y1166,,MX,"22,50 $",BOITE/18,UN,18,,OUI,Canadawide,,,,10 juin 2025,
MANGUE ATAULFO BT BLANC ST CARLOS 5KG 1,Y1167,,MX,"16,50 $",BOITE/18,UN,18,,OUI,Canadawide,,,,26 mars 2024,
MANGUE ATAULFO BT JAUNE ST. CARLOS 4KG 1-,Y1169,,MX,"18,50 $",BOITE/14,UN,14,,OUI,Canadawide,,,,11 juin 2025,erreur de facturation 
MANGUE ATAULFO JULIE 14,Y1172,,MX,"29,50 $",14XBOÎTE,UN,14,,OUI,Canadawide,,,,24 févr. 2026,
MANGUE ATAULFO MONARCH 18 MX,Y1174,,MX,"16,00 $",BOITE/18,UN,18,,OUI,Canadawide,,,,3 juin 2025,
MANGUE ATAULFO PALENQUE 22 MX,Y1176,BIO,MX,"27,50 $",BOITE 18,UN,18,,OUI,Canadawide,,,,26 mars 2024,
MANGUE KEITT FRUTATA 12 BR,Y1182,,BR,"  13,50  $ ",BOITE 12,UN,12,,OUI,Canadawide,,,,21 oct. 2025,
MANGUE MALLIKA 5KG 9 MX,Y1185,,MX,"19,50 $",BOITE 9,UN,9,,OUI,Canadawide,,,,3 juin 2025,
MANGUE PALMER FRUTATA 6 BR,Y1193,,BR,"16,50 $",BOITE,UN,10,,OUI,Canadawide,,,,16 févr. 2024,
MANGUE TOMMY PALENQUE 12 MX,Y1197,,GT,"9,50 $",BOITE 9,UN,9,,OUI,Canadawide,,,,10 mai 2024,
MELON D'EAU JAUNE 9 OC,Y1203,,QC,"34,00 $",BOITE 9,UN,9,,OUI,Canadawide,,,,8 mai 2024,
MELON DIVERS CANARY AGROLIBANAIS 7,Y1205,,BR,"  22,75  $ ",BOITE 7,UN,7,,OUI,Canadawide,,,,16 février 2026,
MELON MIEL AGROLIBANAIS 6 MX,Y1206,,MX,"  24,75  $ ",BOITE 6,UN,6,,OUI,Canadawide,,,,16 février 2026,
MELON MIEL AGROLIBANAIS 8 MX,Y1207,,MX,"  24,75  $ ",BOITE 8,UN,8,,OUI,Canadawide,,,,16 février 2026,
MINNEOLAS TANGELO CITRUSFRESCO 10KG 40/45,Y1209,,MX,"23,50 $",40/45,UN,40,,OUI,Canadawide,,,,23 septembre 2025,
"NAVET #1 50LBS 3.5""-5.5"" QC",Y1216,,QC,"33,50 $",50 LBS,LBS,50,,OUI,Canadawide,,,,27 janv. 2026,
NAVET LAKESIDE 25LBS MX ,Y1217,,QC,"35,50 $",50LBS,LBS,50,,OUI,Canadawide,,,,18 févr. 2024,
Navets (Bio) Symbiosis 25lbs QC,Y1218,,MX,"  27,00  $ ",25LBS,LBS,25,,OUI,Canadawide,,,,8 mai 2024,
oignon (Bio) Jaune Enviro/FW Ward 50lbs QC,Y1225,BIO,,"69,50 $",BOITE 40 LBS,LBS,40,,OUI,Canadawide,,,,13 mai 2024,
OIGNON (BIO) JAUNE PACKS 16X3LBS,Y1226,BIO,QC,"40,50 $",50lbs,LBS,50,,OUI,Canadawide,,,,1 mars 2024,
OIGNON (BIO) JAUNE PFENNING 16X3LBS ON,Y1227,BIO,,"69,50 $",SAC 16X3LBS,LBS,48,,OUI,Canadawide,,,,13 mai 2024,
oignon (Bio) Rouges Enviro/FW Ward 50lbs QC,Y1229,BIO,ON,"61,25 $",BOITE/40LBS,LBS,40,,OUI,Canadawide,,,,9 avr. 2024,
OIGNON 3-COULEUR VEGCO SACS 10X1KG QC,Y1231,BIO,AHUNT,"1,23 $",8 À 10 - 150GR,UN,1,,OUI,Canadawide,,JARDIN AU COURANT,,20 juin 2024,
OIGNON BLANC SOUTHWEST JBO 25LBS MX,Y1232,,MX,"16,75 $",25LBS,LBS,25,,OUI,Canadawide,,,,8 avr. 2025,
OIGNON BOILERS JAUNE 10LBS QC ,Y1234,,QC,"  1,45  $ ",10 LBS,10 LBS,1,,OUI,Canadawide,,,,20 janv. 2026,
OIGNON BOILERS RGE 10LBS QC,Y1235,,QC,"2,35 $",10LBS,10 LBS,1,,OUI,Canadawide,,,,17 décembre 2024,
OIGNON CIPOLLINI 10LBS,Y1236,,QC,"3,65 $",10LBS,10 LBS,1,,OUI,Canadawide,,,,17 décembre 2024,
Oignon Esp Sup Colossal 50lbs QC,Y1243,,MA,"22,50 $",BOITE15KG,LBS,33,,OUI,Canadawide,,,,à vérifier,
OIGNON JAUNE 10X5 QC,Y1246,,QC,"17,00 $",SAC/10X5LBS,5LBS,10,,OUI,Canadawide,,,,29 avr. 2025,
OIGNON JAUNE 16X3 QC,Y1247,,QC,"18,75 $",SAC/10X3LBS,3LBS,10,,OUI,Canadawide,,,,4 mars 2025,
"OIGNON JAUNE 50LBS 3"" QC",Y1248,,QC,"17,75 $",SAC/24X2LBS,lbs,24,,OUI,Canadawide,,,,6 mars 2025,
oignon jaune BIO  Frescadel 24X2 LBS,Y1250,BIO,,"45,50 $",16X3 LBS,3 LBS,48,,OUI,Canadawide,,,,26 mars 2024,
OIGNON JAUNE DESERT SUN BLANC SYMBIOSIS 10X5 QC ,Y1251,BIO,,"45,50 $",24X2 LBS,2 LBS,48,,OUI,Canadawide,,,,26 mars 2024,
OIGNON JAUNE MED/LG 10LBS QC,Y1252,,QC,"4,05 $",SAC10LBS,LBS,10,,OUI,Canadawide,,,,25 mars 2025,
OIGNON JAUNE ONIO 24X2 QC,Y1253,,QC,"19,75 $",SAC/24X2LBS,2LBS,24,,OUI,Canadawide,,,,24 févr. 2026,
OIGNON ROUGE JBO 25LBS QC,Y1263,,QC,"10,75 $",25LBS,LBS,25,,OUI,Canadawide,,,,7 oct. 2025,
OIGNON ROUGE LG 25LBS EG,Y1264, ,EG,"13,50 $",12X2 LBS,LBS,25,,OUI,Canadawide,,,,22 juill. 2025,
OIGNON ROUGE LG 25LBS QC ,Y1265,,QC,"22,75 $",25LBS,LBS,25,,OUI,Canadawide,,,,14 nov. 2024,
OIGNON ROUGE MED/LG 25LBS QC,Y1266,,QC,"12,75 $",10LBS,LBS,10,,OUI,Canadawide,,,,22 oct. 2024,
OIGNON SUCRE MAYAN SWEET 12X3 MX ,Y1270,,MX,"32,75 $",12X3LBS,UN,12,,OUI,Canadawide,,,,8 avr. 2025,
OKRA HN,Y1271,,HN,"  33,50  $ ",BOITE 15LBS,LBS,15,,OUI,Canadawide,,,,2 mai 2025,
ORANGE AGREEN 15KG 100 EG,Y1275,,EG,"22,50 $",BOITE 15 KG/100,KG,100,,OUI,Canadawide,,,,22 avr. 2025,
ORANGE AGROMOON15KG 100 EG,Y1277,,EG,"20,50 $",BOITE 15 KG/100,UN,100,,OUI,Canadawide,,,,27 mai 2025,
ORANGE FRENESI 15KG 100 ES,Y1278,,ES,"34,00 $",15 KG 100,UN,100,,OUI,Canadawide,,,,2 décembre 2025,
ORANGE JAGUAR 15KG 100 EG,Y1279,,EG,"21,50 $",BOITE 100,UN,100,,OUI,Canadawide,,,,6 mai 2025,
ORANGE MID/DELTA FRUITHEART 15KG 105 ZA,Y1280,,EG,"19,50 $",BOITE 15KG 88UN,UN,88,,OUI,Canadawide,,,,21 juin 2024,
ORANGE MID/DELTA UNIFRUTTI 105 ZA,Y1281,,ZA,"  26,50  $ ",BOITE/105,UN,105,,OUI,Canadawide,,,,10 janv. 2025,
ORANGE MID/DELTA UNIFRUTTI 48 ZA,Y1282,,ZA,"  44,50  $ ",BOITE/105,UN,105,,OUI,Canadawide,,,,8 oct. 2024,
ORANGE MID/DELTA UNIFRUTTI 56 ZA,Y1283,,ZA,"  44,50  $ ",BOITE/105,UN,48,,OUI,Canadawide,,,,8 oct. 2024,
ORANGE MID/DELTA UNIFRUTTI 64 ZA,Y1284,,ZA,"  44,50  $ ",BOITE/105,UN,56,,OUI,Canadawide,,,,8 oct. 2024,
ORANGE MID/DELTA UNIFRUTTI 72 ZA,Y1285,,ZA,"  44,50  $ ",BOITE/105,UN,64,,OUI,Canadawide,,,,8 oct. 2024,
ORANGE MID/DELTA UNIFRUTTI 88 ZA,Y1286,,ZA,"  44,50  $ ",BOITE/105,UN,72,,OUI,Canadawide,,,,8 oct. 2024,
ORANGE MIDKNIGHT REYNA DEL PLATA  100/105 AR,Y1287,,AR,"  32,50  $ ",BOITE/105,UN,105,,OUI,Canadawide,,,,7 oct. 2025,
ORANGE NADAL 15KG 54 ES,Y1288,,ZA,"  22,50  $ ",BOITE/105,UN,105,,OUI,Canadawide,,,,7 janvier 2025,
ORANGE NADAL 3.6KG ES,Y1290,,ES,"  30,50  $ ",BOITE/90,UN,90,,OUI,Canadawide,,,,10 décembre 2024,
ORANGE NAVEL BTE.NOIR 15KG 80/84 MA,Y1294,,MA,"  31,50  $ ",BOITE 80/84,UN,80,,OUI,Canadawide,,,,18 mars 2025,
ORANGE NAVEL NINA 105 ZA,Y1299,,ZA,"33,50 $",105,UN,105,,OUI,Canadawide,,,,25 juin 2025,
ORANGE NAVEL SUNKIST 36 CA,Y1300,,,"  33,50  $ ",15 KG,KG,15,,OUI,Canadawide,,,,9 mars 2025,
ORANGE NAVEL SUNTREAT 113 CA,Y1307,,US,"  69,50  $ ",,UN,113,,OUI,Canadawide,,,,27 janv. 2026,
ORANGE NAVEL SUNTREAT 138 CA,Y1308,,CA,"27,50 $",BOITE,UN,113,,OUI,Canadawide,,,,27 déc. 2024,
ORANGE NAVEL SUNTREAT 40 CA,Y1309,,CA,"59,50 $",BOITE,UN,138,,OUI,Canadawide,,,,3 mai 2024,
ORANGE NAVEL SUNTREAT 48 CA,Y1310,,CA,"33,50 $",BOITE,UN,40,,OUI,Canadawide,,,,9 avr. 2024,
ORANGE NAVEL SUNTREAT 56 CA,Y1311,,CA,"33,50 $",BOITE,UN,48,,OUI,Canadawide,,,,9 avr. 2024,
ORANGE NAVEL SUNTREAT 72 CA,Y1312,,CA,"33,50 $",BOITE,UN,56,,OUI,Canadawide,,,,9 avr. 2024,
ORANGE NAVEL SUNTREAT 88 CA,Y1313,,CA,"47,50 $",BOITE,UN,72,,OUI,Canadawide,,,,9 avr. 2024,
ORANGE NAVEL VENUS 15KG 48/54 MA,Y1314,,CA,"49,50 $",BOITE,UN,88,,OUI,Canadawide,,,,9 avr. 2024,
ORANGE NAVEL VENUS 15KG 60 MA,Y1315,,,"27,50 $",,,,,OUI,Canadawide,,,,9 avr. 2024,
ORANGE NILE 15KG 72 EG,Y1320,,MA,"33,50 $",15KG/54,UN,54,,OUI,Canadawide,,,,9 avr. 2024,
ORANGE SALUSTIANA BTE.NOIR 15KG 90/96 MA,Y1324,,EG,"19,50 $",BOITE 15KG 88UN,UN,88,,OUI,Canadawide,,,,21 juin 2024,
ORANGE SALUSTIANA LOVELY 15KG 70/78 MA,Y1326,,MA,"29,50 $",15KG 70/78,UN,78,,OUI,Canadawide,,,,4 mars 2025,
PAMPLE. DARK RED HELLER 56FL,Y1346,,FL,"47,50 $",56UN,UN,56,,OUI,Canadawide,,,,21 juin 2024,
PAMPLE. ROUGE NADAL 14KG 54/56 ES,Y1351,,ES,"  28,50  $ ",BOITE 54,UN,54,,OUI,Canadawide,,,,10 janv. 2025,
PAMPLE. ROUGE RIO PRIDE 48 FL,Y1352,,CA,"  55,50  $ ",BOITE 48,UN,48,,OUI,Canadawide,,,,29 oct. 2024,
PAMPLE. STAR RUBY FRUIT ONE 50/55 ZA,Y1353,,ZA,"31,50 $",50-55UN,UN,50,,OUI,Canadawide,,,,25 août 2025,
PAMPLE. STAR RUBY HASAT 60 TR,Y1354,,TR,"19,50 $",60UN,UN,60,,OUI,Canadawide,,,,18 mars 2025,
PAMPLE. STAR RUBY MAHEL 50/55 ZA,Y1355,,ZA,"31,50 $",50/55,UN,55,,OUI,Canadawide,,,,23 septembre 2025,
PAMPLE. STAR RUBY SUNTREAT 32 CA,Y1364,,CA,"52,50 $",15kg/33lbs,UN,32,,OUI,Canadawide,,,,24 avr. 2024,
PAMPLE. STAR RUBY SUNTREAT 48 CA,Y1365,,CA,"44,50 $",15kg/33lbs,UN,48,,OUI,Canadawide,,,,16 avr. 2024,
PAMPLE. STAR RUBY SUNTREAT 56 CA,Y1366,,CA,"44,50 $",15kg/33lbs,UN,55,,OUI,Canadawide,,,,16 avr. 2024,
Pamplemousses Dark Red Bobby's 48un FL,Y1368,,FL,"40,50 $",Boite40lbs,UN,48,,OUI,Canadawide,,,,8 mars 2024,
Pamplemousses Dark Red Heller 32 FL,Y1369,,FL,"64,50 $",Boite40lbs,LBS,40,,OUI,Canadawide,,,,6 mars 2024,
PANAIS 12x1 QC,Y1370,,QC,"22,50 $",12 X 1 LBS,1LBS,12,,OUI,Canadawide,,,,10 juin 2025,
PANAIS 20LBS Bolivia,Y1371,,QC,"40,00 $",20LBS,LBS,20,,OUI,Canadawide,,,,12 nov. 2024,
PANAIS 20LBS QC,Y1372,,QC,"29,50 $",20LBS,LBS,20,,OUI,Canadawide,,,,24 févr. 2026,
PANIERS - FLEURS - VILLE EN VERT -,Y1373,N/A,QC,"8,00 $",PANIER,UN,1,,OUI,Ville en vert,,,,12 août 2025,
PANIERS - MISC. - VILLE EN VERT - BIO,Y1374,BIO,QC,"10,00 $",PANIER,UN,1,,OUI,Ville en vert,,,,12 août 2025,
PATATE (BIO) BLANC SYMBIOSIS QC,Y1376,BIO,QC,"36,50 $",10X5,5LBS,10,,OUI,Canadawide,,,,6 mai 2025,
PATATE (BIO) BLEU GLENORRA 20LBS QC,Y1377,,QC,"  35,00  $ ",BOITE 20LBS,LBS,20,,OUI,Canadawide,,,,2 septembre 2025,
PATATE 10LBS BLANC PINSONNEAULT QC,Y1378,,QC,"3,50 $",SAC10LBS,LBS,10,,OUI,Canadawide,,,,16 déc. 2025,
PATATE 10LBS JAUNE DOLBEC QC,Y1379,,QC,"3,75 $",SAC10LBS,LBS,10,,OUI,Canadawide,,,,6 janv. 2026,
PATATE 10X5 BLANC PINSONNEAULT QC,Y1380,,QC,"  25,50  $ ",BOITE 10X5,5LBS,10,,OUI,Canadawide,,,,3 oct. 2025,
"PATATE BEBE FINGERLINGS 16X1,5LBS",Y1381,,QC,"  40,50  $ ","16X1,5LBS","1,5LBS",16,,OUI,Canadawide,,,,9 déc. 2025,
"PATATE BLANC PINSONNEAULT ""C"" 20LBS QC",Y1382,,QC,"  36,50  $ ",BOITE 20LBS,LBS,20,,OUI,Canadawide,,,,2 septembre 2025,
PATATE CHEF ROUGE 50LBS QC,Y1383,,QC,"  15,75  $ ",50LBS,LBS,50,,OUI,Canadawide,,,,23 mars 2025,
PATATE CHEF RUSSET 50LBS QC,Y1384,,QC,"16,75 $",50LBS,LBS,50,,OUI,,,,,27 mai 2025,
PATATES 10LBS BLANC PINSONNEAULT QC,Y1390,,QC,"2,75 $",SAC10LBS,LBS,10,,OUI,Canadawide,,,,31 mars 2025,
PECHE JAUNE GEOFRUIT 9KG VF-60/64 CL,Y1392,,CL,"42,50 $",9KG/60-64,UN,64,,OUI,Canadawide,,,,9 mars 2025,
PECHE ONTARIO JAUNE VRAC 2 1/2  36 LBS,Y1393,,ON,"  44,50  $ ",BOITES 36LBS,LBS,36,,OUI,Canadawide,,,,2 septembre 2025,
Persil (Bio) Coriandre Lakeside 30 CA,Y1394,BIO,CA,"29,50 $",BOITE-30,UN,30,,OUI,Canadawide,,,,19 mars 2024,
Persil (Bio) Frisé Naturally Organic 30 CA/MX,Y1395,BIO,CA,"29,50 $",BOITE-30,UN,30,,OUI,Canadawide,,,,19 mars 2024,
Persil (Bio) Italien Lakeside 30 CA,Y1396,BIO,CA,"29,50 $",BOITE-30,UN,30,,OUI,Canadawide,,,,19 mars 2024,
Persil (Bio) Italien ou Coriandre Lakeside 30 CA,Y1397,BIO,CA,"29,50 $",BOITE-30,UN,30,,OUI,Canadawide,,,,19 mars 2024,
PERSIL (BIO) ITALIEN ROOT68 30,Y1398,BIO,CA,"42,50 $",BOITE-30,UN,30,,OUI,Canadawide,,,,13 mai 2024,
PERSIL CORIANDRE 2DZ QC,Y1399, ,QC,"18,00 $",BOITE-24,UN,24,,OUI,Canadawide,,,,16 septembre 2025,
PERSIL CORIANDRE ST.CARLOS,Y1401, ,MX,"28,50 $",BOITE-24,UN,24,,OUI,Canadawide,,,,13 janv. 2026,
PERSIL FRISE 60 QC,Y1402, ,QC,"34,50 $",BOITE-60,UN,60,,OUI,Canadawide,,,,2 décembre 2025,
PERSIL FRISE DZ,Y1403, ,CA,"12,00 $",DZ 12,UN,12,,OUI,Canadawide,,,,17 mai 2024,
PERSIL ITALIEN 60 QC,Y1406, ,QC,"19,50 $",BOITE-60,UN,60,,OUI,Canadawide,,,,7 oct. 2025,
PERSIL ITALIEN JJ LOOP,Y1407, ,TX,"35,00 $",BOITEX60,UN,60,,OUI,Canadawide,,,,24 févr. 2026,
"PERSIMON VANILLE KAKI PLATINUM 3,5KG 20 ES",Y1412,,EG,"16,50 $",20 PAR BOITE,UN,20,,OUI,Canadawide,,,,9 déc. 2025,
PIMENT (BIO) MINI SUCREE WILSON 12X1 MX,Y1415,,MX,"19,50 $",12X1 LBS,LBS,12,,OUI,Canadawide,,,,31 mars 2025,
PIMENT JAUNE ECONO CHOIX QC,Y1416,,QC,"18,75 $",15LBS-32 un,UN,32,,OUI,Canadawide,,,,11 oct. 2024,
PIMENT JAUNE GIFAR  1 1/9 EU 32,Y1417,,EU,"21,50 $",15LBS-32 un,UN,32,,OUI,Canadawide,,,,19 avr. 2024,
PIMENT MINI SUCREE PURE FLAVOR 12X1 ON,Y1420,,ON,"14,50 $",12X1LBS,1LBS,12,,OUI,Canadawide,,,,7 oct. 2025,
"PIMENT MINI SUCREE SUNSET 12X1,5LBS MX",Y1421,,ON,"36,50 $","12X1,5LBS",1LBS,12,,OUI,Canadawide,,,,18 nov. 2025,
PIMENT MINI SUCREE WILSON 12X1 MX,Y1422,,MX,"13,00 $",12X1LBS,LBS,12,,OUI,Canadawide,,,,3 juin 2025,
PIMENT MULTI-COLOR DEL FRESCO 9X4 ON,Y1423,,ON,"23,50 $",9X4,4UN,9,,OUI,Canadawide,,,,17 juin 2025,
PIMENT MULTI-PACK DEL FRESCO 9X4 MX,Y1424,,MX,"31,50 $",9X4,4UN,9,,OUI,Canadawide,,,,2 décembre 2025,
PIMENT MULTI-PACK SENSATION 9X4 ON,Y1425,,ON,"33,00 $",9X4,4UN,9,,OUI,Canadawide,,,,13 janv. 2026,
PIMENT ROUGE CASABLANCA 25LBS MX,Y1427,,MX,"29,50 $",25LBS,LBS,25,,OUI,Canadawide,,,,31 mars 2025,
PIMENT ROUGE EN VRAC 5KG/11LBS  ENV 18,Y1428,,MX,"19,75 $",11LBS-ENV 18,UN,18,,OUI,Canadawide,,,,13 mai 2024,
PIMENT ROUGE FARMERS BEST 15LBS MX 32UN,Y1429,,MX,"18,50 $",15LBS-32,UN,32,,OUI,Canadawide,,,,11 mars 2025,
PIMENT ROUGE FARMERS BEST 25LBS MX,Y1430,,MX,"67,00 $",25LBS,LBS,15,,OUI,Canadawide,,,,À vérifier,
PIMENT ROUGE GIFAR 5KG QC,Y1431,,QC,"19,75 $",11LBS-ENV 18,UN,18,,OUI,Canadawide,,,,8 octobre 2024,
PIMENT ROUGE GREENHOUSE DELIGHT 5KG XLG BC,Y1432,,BC,"19,75 $",11LBS-ENV 26,UN,26,,OUI,Canadawide,,,,17 mai 2024,
PIMENT ROUGE HARVEST TIME 15LBS MX,Y1433,,MX,"16,50 $",15LBS,LBS,15,,OUI,Canadawide,,,,13 mai 2025,
PIMENT ROUGE NAT.FRESH XLG 5KG ON  25-28 COUNT,Y1434,,ON,"29,50 $",11LBS,UN,25,,OUI,Canadawide,,,,13 mai 2025,
PIMENT ROUGE PURE FLAVOR XLG 5KG ON,Y1435,,ON,"14,00 $",5KG,UN,20,,OUI,Canadawide,,,,24 avr. 2024,
PIMENT ROUGE RUSTICO MUCCI 11LBS ON,Y1436,,ON,"23,50 $",11LBS /??UN,LBS,11,,OUI,Canadawide,,,,26 juin 20024,
PIMENT SWEET SNAPS 8X12OZ ON,Y1437,,ON,"16,00 $",8X227GRAMMES,UN,8,,OUI,Canadawide,,,,6 janv. 2026,
PIMENT VERT 1 1 /9 BSH ON,Y1438,,ON,"15,00 $",BOITE 20LBS,LBS,20,,OUI,Canadawide,,,,25 nov. 2025,
PIMENT VERT G.ROY CHOIX QC,Y1439,,QC,"10,75 $",VERIFIER QTÉ - 11 LBS,LBS,11,#REF!,OUI,Canadawide,,,,9 septembre 2025,
POIRE ANJOU CONQUISTA 100 AR,Y1446,,AR,"49,50 $",BOITE 100,UN,100,,OUI,Canadawide,,,,8 mai 2024,
POIRE ANJOU DUCKWALL 110 OR ,Y1449,,OR,"66,75 $",BOITE 110,UN,110,,OUI,Canadawide,,,,7 janvier 2025,
POIRE ANJOU REDFIVE 18KG 120 ,Y1450,,AR,"52,75 $",BOITE 120,UN,120,,OUI,Canadawide,,,,17 juin 2025,
"POIRE BARTLETT  WILLIAM KO-DE BAGH 12,5KG 90",Y1451,,ZA,"29,75 $",BOITE 90,UN,90,,OUI,Canadawide,,,,8 avr. 2025,
POIRE BARTLETT DUCKWALL 90 OR ,Y1452,,OR,"52,75 $",BOITE 90,UN,90,,OUI,Canadawide,,,,14 janv. 2026,
POIRE BARTLETT SOFRUCCO 18KG 120 CL,Y1457,,CL,"40,75 $",18KG 120UN,UN,120,,OUI,Canadawide,,,,25 mars 2025,
POIRE BARTLETT TIGER BRAND 18 KG 100 AR,Y1458,,AR,"47,75 $",18 KG,UN,100,,OUI,Canadawide,,,,6 mai 2025,
POIRE BARTLETT WILLIAM RED FIVE 18 KG 110AR,Y1459,,AR,"43,00 $",18 KG/110,UN,110,,OUI,Canadawide,,,,3 juin 2025,
POIRE ONTARIO BARTLETT VRAC 36LBS ON,Y1465,,ON,"51,50 $",18 KG,UN,100,,OUI,Canadawide,,,,25 août 2025,
POIRE ROCHA  10X1KG SAC PT,Y1466,,PT,"  31,50  $ ",BOITE 10X1KG,KG,10,,OUI,Canadawide,,,,6 janv. 2026,
POIREAUX (BIO) LAKESIDE 20LBS CA ENV 14,Y1469,BIO,CA,"39,50 $",BOIRE/20LBS,LBS,20,,OUI,Canadawide,,,,3 mai 2024,
Poireaux (Bio) Naturally Organic MX 12x3poireaux,Y1470,BIO,MX,"39,50 $",12x3/36poir.,UN,36,,OUI,Canadawide,,,,19 mars 2024,
Poireaux (Bio) Naturally Organic MX 20 lbs,Y1471,BIO,MX,"39,50 $",20LBS,LBS,20,,OUI,Canadawide,,,,19 mars 2024,
Poireaux Importé x 5,Y1473, , ,"5,00 $",PAQUETS/5,UN,5,,OUI,Canadawide,,,,19 mars 2024,
POIREAUX IMPORTÉ X12 FR,Y1474, ,FR,"19,50 $",PAQUETS/12,UN,12,,OUI,Canadawide,,,,29 juill. 2025,
POIREAUX TOKYO 12X3 MX,Y1478, ,MX,"29,50 $",12XBOITE,3,12,,OUI,Canadawide,,,,24 févr. 2026,
POIREAUX X 12 MX,Y1479, ,MX,"17,25 $",PAQUETS/12,UN,12,,OUI,Canadawide,,,,13 janv. 2026,
POIREAUX X 12 QC,Y1480, ,QC,"16,00 $",PAQUETS/12,UN,12,,OUI,Canadawide,,,,16 déc. 2025,
POIS MANGE TOUT 10LBS GT,Y1481,,GT,"28,50 $",10 LBS,LBS,10,,OUI,Canadawide,,,,6 mai 2025,
POIS SUCRÉ 10LBS GT,Y1482,,GT,"26,50 $",10 LBS,LBS,10,,OUI,Canadawide,,,,20 mai 2025,
